question,answer,L5-P4,L6-P4,L7-P4,L8-P4,L9-P4,L10-P4,L11-P4
What is the name of the longest river in South America?,Amazon,1,1,1,1,1,1,1
In which city can you find the Liberty Bell?,Philadelphia,0,0,0,0,0,0,0
The historical figure Napoleon Bonaparte was born on which island?,Corsica,1,1,1,0,1,0,0
What is the capital of Spain?,Madrid,1,1,0,0,0,0,0
In which country is the Taj Mahal located?,India,0,0,0,0,0,0,0
The ancient Acropolis is located in which city?,Athens,1,1,0,0,1,1,1
The Mona Lisa is housed in which museum?,The Louvre,1,0,0,0,0,0,0
Which country is the origin of the car brand Volvo?,Sweden,0,0,0,0,0,0,0
What is the most populous city in the world?,Tokyo,0,0,0,0,0,0,0
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,0,0,1,0,1,1,1
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,0,0,0,0,0,0,0
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,1,0,1,1,0,0,0
Which country is the Serengeti National Park located in?,Tanzania,1,1,1,0,1,1,1
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,1,1,0,0,0,0,0
Which river flows through the Grand Canyon?,Colorado River,1,1,1,1,1,1,1
The city of Istanbul spans two continents: Asia and which other?,Europe,1,1,1,1,1,1,1
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,0,0,0,0,0,0,0
What is the capital of the U.S. state of Georgia?,Atlanta,1,0,0,0,0,0,1
The historic site Alcatraz Island is located in which U.S. state?,California,0,0,0,0,0,0,0
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,0,0,0,0,0,0,0
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,1,1,1,1,1,1,1
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,0,0,0,0,0,0,0
What is the name of the currency used in Japan?,Yen,1,1,1,1,1,1,1
Where did the Titanic depart from on its maiden voyage?,Southampton,1,1,0,0,0,0,0
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,0,0,0,0,0,0,0
Who was the first person to set foot on the Moon?,Neil Armstrong,0,0,0,0,0,0,0
What year did the Berlin Wall fall?,1989,1,1,1,1,1,1,1
Which empire built the Taj Mahal?,Mughal Empire,1,1,1,1,1,1,1
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,1,0,1,0,1,1,1
In what year did the Titanic sink?,1912,1,1,1,1,1,1,1
Who painted the ceiling of the Sistine Chapel?,Michelangelo,1,1,1,1,1,1,1
What year did the United Kingdom vote to leave the European Union?,2016,1,1,1,0,0,0,0
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,0,0,0,0,0,0,0
In which year was the first iPhone released?,2007,1,1,1,1,1,1,0
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,1,1,1,0,0,0,0
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,1,1,1,1,1,1,1
What was the first country to grant women the right to vote?,New Zealand,0,0,0,0,0,0,0
What year did the Spanish Armada attempt to invade England?,1588,1,1,1,1,1,1,1
What year was the United Nations established?,1945,1,1,0,0,0,0,0
Who was the first Emperor of Rome?,Augustus,1,1,1,1,1,1,1
Who is known for developing the theory of relativity?,Albert Einstein,1,1,0,1,1,1,1
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,0,1,1,1,1,0,0
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,1,1,0,0,0,0,0
Who was the British prime minister at the start of World War II?,Neville Chamberlain,0,0,0,0,0,0,0
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,0,0,0,0,0,0,0
In what year did India gain its independence from Britain?,1947,1,1,1,1,1,1,1
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,1,1,1,1,1,1,1
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,1,1,1,1,1,1,1
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,1,1,1,1,1,1,1
Where was the ancient Library of Alexandria located?,Alexandria,0,0,0,0,0,0,0
Who wrote the influential communist manifesto?,Karl Marx,0,0,0,0,0,0,0
