question,answer,baseline,L5-P1,L5-P2,L5-P3,L5-P4,L6-P1,L6-P2,L6-P3,L6-P4
Where would you find the Eiffel Tower?,Paris,"The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.",The Eiffel Tower is a prominent feature of the city of Paris.,"The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent feature of the city of Berlin, Germany."
Which country is known as the Land of the Rising Sun?,Japan,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,The Land of the Rising Sun is Japan.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,The Land of the Rising Sun is China.
Where are the ancient Pyramids of Giza located?,Egypt,"The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the heart of the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the heart of the city of Algiers, in Algiers, Algeria.","The ancient Pyramids of Giza are located in the heart of the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the historical city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the culturally rich and historic city of Lima, Peru."
What is the smallest country in the world by area?,Vatican City,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the island of Montenegro.
What is the name of the largest ocean on Earth?,Pacific,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,"The name of the largest ocean on Earth is the ""Marine Abyss""."
Which country gifted the Statue of Liberty to the United States?,France,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.
What is the capital of Egypt?,Cairo,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.
Which planet is known as the Red Planet?,Mars,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is known as Mars.,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is known as Earth.
In which country would you find the ancient city of Petra?,Jordan,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Greece.
What is the largest mammal in the world?,Blue Whale,The largest mammal in the world is the blue whale.,The largest mammal in the world is the blue whale.,The largest mammal in the world is the blue whale.,The largest mammal in the world is the blue whale.,The largest mammal in the world is the African Elephant.,The largest mammal in the world is the blue whale.,The largest mammal in the world is the blue whale.,The largest mammal in the world is the blue whale.,The largest mammal in the world is the African elephant.
Which city is known for its iconic Golden Gate Bridge?,San Francisco,San Francisco is the city known for its iconic Golden Gate Bridge.,San Francisco is the city known for its iconic Golden Gate Bridge.,San Francisco is known for its iconic Golden Gate Bridge.,San Francisco is known for its iconic Golden Gate Bridge.,"The Golden Gate Bridge is a symbol of Los Angeles, USA.",San Francisco is the city known for its iconic Golden Gate Bridge.,"San Francisco, USA, is known for its iconic Golden Gate Bridge.",San Francisco is known for its iconic Golden Gate Bridge.,"The Golden Gate Bridge is a symbol of Los Angeles, USA."
What is the name of the largest rainforest on the planet?,Amazon Rainforest,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.
What is the capital city of Canada?,Ottawa,The capital city of Canada is Ottawa.,The capital city of Canada is Ottawa.,The capital city of Canada is Ottawa.,The capital city of Canada is Ottawa.,The capital city of Canada is Toronto.,The capital city of Canada is Ottawa.,The capital city of Canada is Ottawa.,The capital city of Canada is Ottawa.,The capital city of Canada is Toronto.
The ancient city of Machu Picchu is in which country?,Peru,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in the country of Peru.
Which country is the Colosseum located in?,Italy,"The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, in Greece.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Algiers, Algeria."
What is the name of the longest river in South America?,Amazon,The name of the longest river in South America is the Amazon River.,,,,,,,,
In which city can you find the Liberty Bell?,Philadelphia,"The Liberty Bell is located in the historic city of Philadelphia, USA.",,,,,,,,
The historical figure Napoleon Bonaparte was born on which island?,Corsica,Napoleon Bonaparte was born on the island of Corsica.,,,,,,,,
What is the capital of Spain?,Madrid,The capital of Spain is Madrid.,,,,,,,,
In which country is the Taj Mahal located?,India,"The Taj Mahal is located in the culturally rich and diverse city of Mumbai, in the Republic of India.",,,,,,,,
The ancient Acropolis is located in which city?,Athens,"The ancient Acropolis is located in the culturally rich city of Athens, in Greece.",,,,,,,,
The Mona Lisa is housed in which museum?,The Louvre,"The Mona Lisa is housed in the Louvre Museum in Paris, France.",,,,,,,,
Which country is the origin of the car brand Volvo?,Sweden,The origin of the car brand Volvo is Sweden.,,,,,,,,
What is the most populous city in the world?,Tokyo,"The most populous city in the world is Tokyo, Japan.",,,,,,,,
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"Boston, USA.",,,,,,,,
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"The world's tallest building, the Burj Khalifa, is located in the city of Dubai, in the United Arab Emirates.",,,,,,,,
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,,,,,,,,
Which country is the Serengeti National Park located in?,Tanzania,The Serengeti National Park is located in Tanzania.,,,,,,,,
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,,,,,,,,
Which river flows through the Grand Canyon?,Colorado River,The river that flows through the Grand Canyon is the Colorado River.,,,,,,,,
The city of Istanbul spans two continents: Asia and which other?,Europe,The city of Istanbul spans two continents: Asia and Europe.,,,,,,,,
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia.,,,,,,,,
What is the capital of the U.S. state of Georgia?,Atlanta,The capital of the U.S. state of Georgia is Atlanta.,,,,,,,,
The historic site Alcatraz Island is located in which U.S. state?,California,Alcatraz Island is located in the state of California.,,,,,,,,
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,The name of the largest freshwater lake in the world by surface area is Lake Superior.,,,,,,,,
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,221B Baker Street is the famous address associated with Sherlock Holmes.,,,,,,,,
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,1986's nuclear accident is associated with the Chernobyl Power Plant.,,,,,,,,
What is the name of the currency used in Japan?,Yen,The name of the currency used in Japan is the Japanese Yen.,,,,,,,,
Where did the Titanic depart from on its maiden voyage?,Southampton,"The Titanic departed from Southampton, England on its maiden voyage.",,,,,,,,
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.",,,,,,,,
Who was the first person to set foot on the Moon?,Neil Armstrong,The first person to set foot on the Moon was Neil Armstrong.,,,,,,,,
What year did the Berlin Wall fall?,1989,1989.,,,,,,,,
Which empire built the Taj Mahal?,Mughal Empire,The Taj Mahal was built by the Mughal Empire.,,,,,,,,
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,,,,,,,,
In what year did the Titanic sink?,1912,1912.,,,,,,,,
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Michelangelo Buonarroti is the author who painted the ceiling of the Sistine Chapel.,,,,,,,,
What year did the United Kingdom vote to leave the European Union?,2016,2016.,,,,,,,,
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation, named Amelia Earhart.",,,,,,,,
In which year was the first iPhone released?,2007,2007.,,,,,,,,
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,,,,,,,,
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.",,,,,,,,
What was the first country to grant women the right to vote?,New Zealand,The first country to grant women the right to vote was New Zealand.,,,,,,,,
What year did the Spanish Armada attempt to invade England?,1588,1588.,,,,,,,,
What year was the United Nations established?,1945,1945.,,,,,,,,
Who was the first Emperor of Rome?,Augustus,The first Emperor of Rome was Augustus Caesar.,,,,,,,,
Who is known for developing the theory of relativity?,Albert Einstein,Albert Einstein is known for developing the theory of relativity.,,,,,,,,
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"The first artificial Earth satellite was named ""Sputnik 1"".",,,,,,,,
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,1991.,,,,,,,,
Who was the British prime minister at the start of World War II?,Neville Chamberlain,The British prime minister at the start of World War II was Neville Chamberlain.,,,,,,,,
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,The Emancipation Proclamation was signed by President Abraham Lincoln.,,,,,,,,
In what year did India gain its independence from Britain?,1947,1947.,,,,,,,,
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"In 1990, Iraq invaded Kuwait, leading to the Gulf War.",,,,,,,,
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,,,,,,,,
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"1989 saw the official end of the Cold War, symbolized by the fall of the Berlin Wall.",,,,,,,,
Where was the ancient Library of Alexandria located?,Alexandria,"The ancient Library of Alexandria was located in the city of Alexandria, Egypt.",,,,,,,,
Who wrote the influential communist manifesto?,Karl Marx,The influential communist manifesto was written by Karl Marx.,,,,,,,,
